City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,ambilobe,-13.2,49.05,71.87,64,32,1.63,MG,1595255921
94,cedar city,37.68,-113.06,66.2,24,1,3.36,US,1595255732
95,castro,-42.47,-73.77,50.0,100,90,3.36,CL,1595255922
96,saldanha,-33.01,17.94,73.4,49,0,4.7,ZA,1595255922
97,pacific grove,36.62,-121.92,57.99,91,40,2.62,US,1595255699
98,kapaa,22.08,-159.32,78.8,83,90,13.87,US,1595255922
99,angoche,-16.23,39.91,72.84,70,0,10.4,MZ,1595255922
100,bronnoysund,65.46,12.2,57.2,71,75,6.93,NO,1595255922
101,dicabisagan,17.08,122.42,80.19,80,26,1.83,PH,1595255923
102,norman wells,65.28,-126.83,55.4,93,75,2.24,CA,1595255923
103,salalah,17.02,54.09,82.4,88,75,10.29,OM,1595255921
104,joensuu,62.6,29.76,77.0,53,25,6.93,FI,1595255923
106,nushki,29.55,66.02,89.4,12,0,4.12,PK,1595255923
107,aklavik,68.22,-135.01,50.0,71,90,2.24,CA,1595255923
108,padang,-0.95,100.35,80.6,88,40,1.12,ID,1595255924
109,komsomolskiy,43.98,46.7,93.49,36,0,13.04,RU,1595255924
110,qasigiannguit,68.82,-51.19,55.4,43,40,3.36,GL,1595255924
111,hirara,24.8,125.28,85.19,76,0,9.46,JP,1595255924
112,nizhniy lomov,53.53,43.68,68.81,79,2,9.01,RU,1595255924
113,korla,41.76,86.15,77.0,75,27,1.01,CN,1595255924
114,te anau,-45.42,167.72,40.57,88,79,1.5,NZ,1595255924
115,seoul,37.57,126.98,73.4,83,90,5.82,KR,1595255924
116,veraval,20.9,70.37,84.51,78,59,11.79,IN,1595255925
118,victoria,-4.62,55.45,80.6,78,40,17.22,SC,1595255843
119,lagoa,39.05,-27.98,68.88,69,15,1.66,PT,1595255925
120,valparaiso,-33.04,-71.63,55.4,100,75,6.93,CL,1595255735
121,xiangxiang,27.73,112.53,72.55,94,100,2.15,CN,1595255925
122,batagay-alyta,67.8,130.41,56.79,89,10,0.74,RU,1595255925
123,alice springs,-23.7,133.88,55.4,47,75,8.05,AU,1595255926
124,karratha,-20.74,116.85,69.37,47,0,13.96,AU,1595255919
125,chiang rai,19.91,99.83,80.6,94,40,4.7,TH,1595255626
126,san patricio,19.22,-104.7,80.6,78,5,3.0,MX,1595255926
127,chauk,20.88,94.82,85.1,64,100,14.54,MM,1595255926
128,pevek,69.7,170.31,45.43,59,0,3.27,RU,1595255926
129,ivanovka,55.52,38.12,75.2,53,30,8.95,RU,1595255926
130,tasiilaq,65.61,-37.64,44.6,81,20,10.29,GL,1595255926
131,faanui,-16.48,-151.75,77.23,84,48,23.73,PF,1595255927
132,nikolskoye,59.7,30.79,77.0,44,20,4.47,RU,1595255926
133,ketchikan,55.34,-131.65,57.2,93,90,4.79,US,1595255797
134,barcelos,-0.97,-62.92,86.29,60,32,2.75,BR,1595255927
135,mehamn,71.04,27.85,48.2,100,90,12.75,NO,1595255927
136,dublin,37.7,-121.94,61.0,87,90,9.17,US,1595255655
138,sakhon nakhon,17.16,104.15,84.2,94,40,0.38,TH,1595255927
139,kodiak,57.79,-152.41,59.0,72,1,11.41,US,1595255849
140,tiksi,71.69,128.87,48.45,85,100,16.02,RU,1595255928
142,lunglei,22.88,92.73,70.39,100,100,2.8,IN,1595255928
145,coquimbo,-29.95,-71.34,53.6,81,86,4.7,CL,1595255928
